arm_id,candidate_identity,comparability,plan_identity_match,entry_identity_match,execution_identity_match,completed_outcome,realized_return_pct,realized_r,reason
ARM-7374A65D1E8A44345997,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,COUNTERFACTUAL_PATH_UNOBSERVABLE,UNKNOWN,UNKNOWN,UNKNOWN,false,UNKNOWN,UNKNOWN,No unchanged-policy shadow trade formed; no outcome was attached.
ARM-6CD2E80FC5ED2D54216C,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,COUNTERFACTUAL_PATH_UNOBSERVABLE,UNKNOWN,UNKNOWN,UNKNOWN,false,UNKNOWN,UNKNOWN,No unchanged-policy shadow trade formed; no outcome was attached.
ARM-2AF1671320911C62B00F,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,COUNTERFACTUAL_PATH_UNOBSERVABLE,UNKNOWN,UNKNOWN,UNKNOWN,false,UNKNOWN,UNKNOWN,No unchanged-policy shadow trade formed; no outcome was attached.
ARM-15FD3DD2EBD81E61C6C3,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,COUNTERFACTUAL_PATH_UNOBSERVABLE,UNKNOWN,UNKNOWN,UNKNOWN,false,UNKNOWN,UNKNOWN,No unchanged-policy shadow trade formed; no outcome was attached.
ARM-8D0896715EDE79593D41,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,COUNTERFACTUAL_PATH_UNOBSERVABLE,UNKNOWN,UNKNOWN,UNKNOWN,false,UNKNOWN,UNKNOWN,No unchanged-policy shadow trade formed; no outcome was attached.
ARM-46DE11917FA19AA78CE1,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,COUNTERFACTUAL_PATH_UNOBSERVABLE,UNKNOWN,UNKNOWN,UNKNOWN,false,UNKNOWN,UNKNOWN,No unchanged-policy shadow trade formed; no outcome was attached.
ARM-1DB5AA58ABF7BA37EE35,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,COUNTERFACTUAL_PATH_UNOBSERVABLE,UNKNOWN,UNKNOWN,UNKNOWN,false,UNKNOWN,UNKNOWN,No unchanged-policy shadow trade formed; no outcome was attached.
